CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
+7*14+14*24-4*12,1.392282317332497,1.484759615420904,TNI_TGG,1.4375407964491718_1.5761428653485061,4.945662086575876,1.2129091705759907,1.312205196503223,,,1.06,0.7698997956936839,1.390924511984723,HAR,1.0322061668504978,1.609907120743034,-8.41059854521898e-05,1.3879238809284953,1.3924138175394711
+7*14+14*24-12*25,1.1823853752975406,1.4816384999421937,TGG_TNI,1.4663402218934942_1.3655621765998731,4.945662086575876,1.1432964902935174,1.3265915335968728,,,1.06,0.6390062997967114,1.3548935198754144,HAR,1.0160486056718407,1.609907120743034,-8.057133765857434e-05,1.3696659205151849,1.3845267448256144
+1*1*27*28/29,0.2611724316809197,1.4810635605833697,IDI,0.41065388344258236,2.336647727272727,0.19660516914607049,1.2276813745057673,KHP,0.23961320072313919,2.43265306122449,0.15124968200981662,1.2372848587148828,KHP,0.23961320072313919,2.43265306122449,-4.457976444602875e-05,1.2635477059270386,1.3055083763210535
+1*7*24*24/31,0.3665559008612948,1.4790037522208963,,,1.06,0.3665559008612948,1.3399844304294561,,,1.06,0.3665559008612948,1.369358461567909,,,1.06,-0.00031602665819863715,1.4849503818767225,1.3936135554335263
+1+7+7+11-0-5,1.3650105360404434,1.470079301329791,TNI,1.5112059959722224,2.0703125,1.1415596621343242,1.3697375257478612,,,1.06,1.0567434003966651,1.3001859131127802,HAR_MHC,1.1227809518398517_1.114137594593011,1.5957381182793626,-5.58450494873375e-05,1.2702447085068675,1.3765110792428616
+7*24+10*33-12*33,0.09043256028195279,1.4599322798998355,TS4_TDH,0.10937058662568128_0.12351072664176874,1.1095749112579543,0.061168643754363275,1.3322424956780587,SZL,0.08321944594687401,1.31357552581262,0.045739561171774745,1.3248305211812852,SZL,0.08321944594687401,1.31357552581262,-2.3469049547981327e-05,1.145936361760085,1.3696185431955439
+1*11+7*7-2*10,0.5184333010759052,1.4586326294299377,TNI_HAR,0.616291804029014_0.6818704736695882,1.840109810371517,0.32910886803528666,1.3568183273540046,HAR_VRE,0.616291804029014_0.3424003323176363,1.2997836933109557,0.17561842836024452,1.2954061707859144,TNI_HAR_VRE_SZL_VNE_LHG_HMC,0.26399698823414175_0.6818704736695882_0.18406453802108796_0.2929340148724946_0.232952501654694_0.3424003323176363_0.616291804029014,1.620193738575453,-3.569378274835805e-05,1.1998929662483921,1.3670224897296637
+7*14+13*30-2*10,1.4933100750571984,1.4574321605548604,,,1.06,1.3727738040538822,1.3343952003737225,,,1.06,1.4933100750571984,1.203685779807445,,,1.06,-7.284178803653355e-05,1.3298700162706611,1.3237300778181822
+20*20*31/2/30,0.5604955728602186,1.4570241222180758,HTI_MWG_PNJ_FRT,1.6977768379624834_1.2726017497534543_1.1064406713564447_2.596654797782511,1.9617548563480258,0.5382821222152796,1.3382695344658961,HTI_MWG_PNJ_FRT,1.6977768379624834_1.2726017497534543_1.1064406713564447_2.596654797782511,1.9617548563480258,0.5382821222152796,1.2676356198338097,HTI_MWG_PNJ,2.596654797782511_1.6977768379624834_1.2726017497534543,1.2714997000629504,-6.266471913582284e-05,1.336638763203363,1.3498711803220327
+1*11+7*7-12*22,0.41652529719178094,1.456174462528278,HAR_SZL,0.6216422084541371_0.42207263628329295,1.4617413232778271,0.4914022816101863,1.3343952003737225,HAR,0.6216422084541371,1.609907120743034,0.15766614632246553,1.3225849112923072,HAR_SZL_VRE_LHG,0.6216422084541371_0.3541737542176044_0.24020750069910374_0.42207263628329295,1.387444887267792,-2.278754025352757e-05,1.1648585157245184,1.3684700500647957
+1*2+4*9-2*21,0.9008769568125776,1.4557722711554892,,,1.06,0.9006043208838718,1.2891244291105386,,,1.06,0.05453280231605185,1.1820334645181707,ADS_IDI_MHC_CRC_CTD_HAI_SMC_ITD_MCG_TTB_FIT_VOS_PGC_EVE_SHI_KHP_TSC_ASM_C32_CMG_AAA_ASP_DCL_GEX_HHS_QBS_HVH_PLP_TAC_LHG_PVT_MSH_HII_GIL_PPC_D2D_TCL_REE_VHC_PVD_DPR_KDC_FPT_DHA_SKG_YEG_ANV_PLX_HAH_DMC_DVP_CSV_NKG_DQC_BMP_BWE_DPM_SAV_TMS_QCG_GTN_SZL_ELC_DBD_GAS_GDT_DCM,0.6349467008279475_0.14373304601208883_0.1298259452394705_0.4305279761772059_0.3462345651900116_0.16856620963327631_0.08760551765479685_0.13995723032515767_0.13135830700489592_0.07030197730207474_0.20757082257902598_0.06104966913362521_0.12189810545839341_0.21199371209495088_0.09260142337289748_0.13779931290288921_0.07333865581199792_0.5680088329937061_0.4726673573516237_0.43090428103426415_0.7399094457902121_0.5334837100277772_0.32587026455030665_0.18811454623215013_0.14632400400827655_0.10203798154351157_0.14405608618008642_0.11841674062915693_0.08397115150335319_0.1317161919868448_0.10363695509648546_0.1246033451497838_0.1445819265484072_0.1846637050167772_0.11073427230786298_0.3391678700870462_0.07586781414412497_0.10076037296159998_0.06657340195133533_0.1046869637091114_0.26190116172253064_0.1379354883947715_0.20728776626796455_0.3126143596428918_0.09063590529237238_0.056396859754851134_0.600606251911035_0.11646651660584043_0.1709442757745242_0.31123906383270394_0.22474392090541873_0.36141655918412285_0.12196425420856116_0.2362147196920482_0.5098065588512176_0.48822115905294206_0.26766726870243374_0.09961387784325829_0.07509948661621638_0.1012335200345951_0.1834237001694778_0.08412581272068642_0.21958613987540518_0.32850173320455417_0.20354228711993297_0.18872883202265733_0.31974851313370334,1.6144918977138758,-7.306893859407444e-05,1.3323228545016002,1.2994659744288823
+1*11+7*7-10*12,0.48367491298427306,1.45455361406626,TNI_HAR,0.6135142345670163_0.6999720939990878,1.840109810371517,0.6255550525097775,1.3343952003737225,,,1.06,0.1747525706693496,1.2778684481614948,TNI_HAR_VRE_VNE_HMC,0.32633046284826095_0.6999720939990878_0.17481892985393105_0.24886025786160637_0.6135142345670163,1.6782288015157831,-2.4848207980525187e-05,1.1645102113205605,1.3516847154046951
+7*14+9*11-2*22,0.9825633045496106,1.4516168580689743,HAR,1.1636716806355347,1.609907120743034,1.0146379051060863,1.371628950378361,HAR,1.1636716806355347,1.609907120743034,0.5688392452786127,1.3437577578957665,HAR,1.1636716806355347,1.609907120743034,-6.180337810839424e-05,1.286081682039111,1.3875213413605776
+1+7+7+11+30-0,1.6213604859937354,1.4502766577641375,,,1.06,1.2390813427847265,1.3826623442645547,HAR,1.3209581406798168,1.609907120743034,1.4300309455872484,1.259368235692749,,,1.06,-6.978048154805794e-05,1.3394847799803897,1.3594252848946196
+1*20+7*14-2*22,0.9971983322386341,1.4490061149139726,HAR,1.013397066347902,1.609907120743034,0.9953480832924188,1.337312558326855,HAR,1.013397066347902,1.609907120743034,0.44022946572514376,1.3081793839528055,HAR_LHG_SZL_ITD_VNE_PGC_TSC_PET_VIP_D2D_EVE_DPR_HHS_FIT,0.5894345499415321_0.530685270219454_0.5037308440009678_0.55122552383605_0.47656877247792095_0.5074914404251192_0.49826258000090246_0.5129312074740409_0.4935180780268678_1.013397066347902_0.6177052692568166_0.6572122578245454_0.5889924890441531_0.5926365478940702,1.6435032691778957,-9.044355430201857e-05,1.3797667761424137,1.3622012740795355
+1*11+7*7-0*25,0.5934841006577811,1.4474774249893958,TNI_HAR,0.6360052394331414_0.7211955469618863,1.840109810371517,0.4072488567778904,1.337312558326855,HAR,0.6360052394331414,1.609907120743034,0.2827878644995188,1.3565369594684147,HAR_VRE_SZL,0.6360052394331414_0.3098629932522475_0.35655003489973597,1.3043809708115104,-3.85470379788818e-05,1.1972279998446778,1.3788053385934174
+6*31+7*7-2*10,0.7464053813166116,1.4474157759318445,,,1.06,0.7026277249279574,1.3343952003737225,,,1.06,0.9464649400133915,1.2403498341455685,,,1.06,-4.8348654648404034e-05,1.2685053297803133,1.3354024241815787
+1*27-29*29-29*29,0.09375606108862544,1.4470550569188143,MHC_KHP_ADS,0.09409169755706753_0.1075484483915364_0.11121643539875342,1.9998097592106323,0.09807045398076006,1.2241985168209388,MHC_KHP,0.1075484483915364_0.11121643539875342,2.0071110885200905,0.008513966199176382,1.1715454351426684,MHC_KHP_ADS_HAI_SMC_PGC_IDI_FIT_PVT_DPR_CTD_SHI_DPM_C32_EVE_PVD_AAA_CMG_TSC_FPT_DCL_BWE_SBT_PLX_LHG_SKG_DCM_HPG_TAC_TCL_GTN_HHS_CSV_GDT_REE_SZL,0.015562569946566155_0.017642150502776136_0.1075484483915364_0.025341746145165208_0.009722506318912066_0.014891386943529115_0.018130006014540578_0.033577804956241755_0.014733794464367646_0.04114137104831714_0.05501434307345718_0.011310556263279427_0.043910852881223435_0.08626318652387087_0.03436588130491994_0.014767420655422378_0.11121643539875342_0.05655654799489525_0.009071327570687687_0.03280522581727793_0.04814786524749064_0.09409169755706753_0.011588487596163448_0.014821505749676438_0.016898419441593853_0.010685680251543875_0.045694773317669565_0.021409855922046573_0.009157150961680634_0.009084056883069328_0.025486474126792974_0.024233922948691977_0.05624767236326979_0.027274800739416356_0.01354284835833387_0.009440634001185728,1.5619173985153525,-5.272150909364896e-05,1.2755666983026557,1.2703827234297533
+1+7+7-0-5-17,1.2915586273073076,1.4465303873057858,TNI,1.5112059959722224,2.0703125,0.9366982623076924,1.3410947232613928,MHC_HAR_FIT,0.9439027138066044_1.0891858464571607_1.114137594593011,1.501134280687771,0.8304136239404678,1.2726815391082835,MHC_HAR_FIT,0.9439027138066044_1.0891858464571607_1.114137594593011,1.501134280687771,-5.6033438627675946e-05,1.2654901010014183,1.3497029097542803
