SYMBOL,SUM_RANK,TIME
NOT_INVEST,2852532.0,2016
AAM,1088973.0,2016
ABT,1406425.0,2016
ACC,1416550.0,2016
ACL,612908.0,2016
AGF,647618.0,2016
AGM,903691.0,2016
AMD,1452837.0,2016
ANV,646118.0,2016
APC,1722539.0,2016
ASM,1664466.0,2016
ASP,1476946.0,2016
ATA,1318001.0,2016
BBC,1657951.0,2016
BCE,659193.0,2016
BCG,1246068.0,2016
BCI,1639277.0,2016
BFC,1181489.0,2016
BGM,1441010.0,2016
BHS,1292447.0,2016
BMC,1452678.0,2016
BMP,1706094.0,2016
BRC,1273044.0,2016
BTP,1218124.0,2016
BTT,1717617.0,2016
C32,1550105.0,2016
C47,370311.0,2016
CAV,1227961.0,2016
CCI,2066205.0,2016
CCL,1270946.0,2016
CDC,1224930.0,2016
CDO,1673468.0,2016
CIG,505081.0,2016
CII,1679122.0,2016
CLC,1345973.0,2016
CLG,1199005.0,2016
CLL,1779130.0,2016
CLW,1376822.0,2016
CMG,1415854.0,2016
CMT,942282.0,2016
CMV,907577.0,2016
CMX,713753.0,2016
CNG,1696458.0,2016
COM,1705503.0,2016
CSM,1216897.0,2016
CSV,1479024.0,2016
CTD,1713205.0,2016
CTI,1270008.0,2016
CYC,647469.0,2016
D2D,1413354.0,2016
DAG,1187848.0,2016
DAT,1637816.0,2016
DCL,1470898.0,2016
DCM,1474239.0,2016
DGW,1176036.0,2016
DHA,1732626.0,2016
DHC,1629585.0,2016
DHG,1676312.0,2016
DHM,1241046.0,2016
DIC,588605.0,2016
DIG,1149693.0,2016
DLG,1425783.0,2016
DMC,1581556.0,2016
DPM,1845845.0,2016
DPR,1902543.0,2016
DQC,1511988.0,2016
DRC,1439203.0,2016
DRH,1865700.0,2016
DRL,1753558.0,2016
DSN,1887677.0,2016
DTA,1205564.0,2016
DTL,956024.0,2016
DTT,1275787.0,2016
DVP,1735944.0,2016
DXG,1463609.0,2016
DXV,976500.0,2016
ELC,1481710.0,2016
EMC,998210.0,2016
EVE,1445032.0,2016
FCM,1025810.0,2016
FCN,1001673.0,2016
FDC,1699418.0,2016
FIT,1587898.0,2016
FLC,1621797.0,2016
FMC,970474.0,2016
FPT,1364684.0,2016
GAS,1839614.0,2016
GDT,1685991.0,2016
GIL,1330000.0,2016
GMC,1120326.0,2016
GMD,1565000.0,2016
GSP,1530216.0,2016
GTA,1621846.0,2016
GTN,1586282.0,2016
GTT,1045305.0,2016
HAG,1035146.0,2016
HAH,1580815.0,2016
HAI,1151340.0,2016
HAP,1188728.0,2016
HAR,1805232.0,2016
HAS,1093780.0,2016
HAX,1222124.0,2016
HBC,754774.0,2016
HDC,1300292.0,2016
HDG,1556142.0,2016
HHS,1348374.0,2016
HLG,1031232.0,2016
HMC,1214458.0,2016
HNG,1002029.0,2016
HOT,1707573.0,2016
HPG,1675456.0,2016
HQC,975608.0,2016
HRC,1661413.0,2016
HSG,1116161.0,2016
HT1,1408071.0,2016
HTI,1568193.0,2016
HTL,1538830.0,2016
HTV,1638115.0,2016
HU1,751918.0,2016
HU3,668452.0,2016
HVG,791950.0,2016
HVX,914719.0,2016
ICF,666920.0,2016
IDI,885964.0,2016
IJC,1402118.0,2016
IMP,1550098.0,2016
ITA,1256938.0,2016
ITC,1216787.0,2016
ITD,1696522.0,2016
JVC,1266659.0,2016
KAC,1516494.0,2016
KBC,1133670.0,2016
KDC,1507388.0,2016
KDH,1461453.0,2016
KHA,2018785.0,2016
KHP,1206496.0,2016
KMR,1085949.0,2016
KSA,1518141.0,2016
KSB,2015834.0,2016
KSH,1585975.0,2016
KSS,758191.0,2016
L10,1145338.0,2016
LAF,1236730.0,2016
LBM,1671675.0,2016
LCG,956846.0,2016
LCM,1232735.0,2016
LDG,1114864.0,2016
LGC,1558913.0,2016
LGL,1423685.0,2016
LHG,1714183.0,2016
LIX,1639943.0,2016
LM8,639016.0,2016
LSS,885893.0,2016
MCG,545526.0,2016
MCP,1212052.0,2016
MDG,880682.0,2016
MHC,1589824.0,2016
MSN,1576906.0,2016
MWG,1564755.0,2016
NAF,1590856.0,2016
NAV,1017163.0,2016
NBB,1259004.0,2016
NCT,1855066.0,2016
NKG,662389.0,2016
NLG,1571742.0,2016
NNC,1650531.0,2016
NSC,1625100.0,2016
NT2,1465525.0,2016
NTL,1261868.0,2016
NVT,1297670.0,2016
OPC,1691428.0,2016
PAC,1309820.0,2016
PAN,1744032.0,2016
PDN,1623728.0,2016
PDR,1338214.0,2016
PET,956484.0,2016
PGC,1485685.0,2016
PGD,1658429.0,2016
PHR,1569405.0,2016
PIT,756957.0,2016
PJT,1333307.0,2016
PNC,1372599.0,2016
PNJ,1493750.0,2016
POM,765374.0,2016
PPC,1248705.0,2016
PPI,1152220.0,2016
PTB,1601502.0,2016
PTC,1135483.0,2016
PTL,1137840.0,2016
PVD,1427966.0,2016
PVT,1542532.0,2016
PXI,887210.0,2016
PXL,923549.0,2016
PXS,1321094.0,2016
PXT,906271.0,2016
QBS,1047723.0,2016
QCG,816928.0,2016
RAL,1127742.0,2016
RDP,1217534.0,2016
REE,1907083.0,2016
RIC,1440329.0,2016
SAM,1556626.0,2016
SAV,1269183.0,2016
SBA,1587074.0,2016
SBT,1310793.0,2016
SC5,831146.0,2016
SCD,1645171.0,2016
SFC,1892618.0,2016
SFG,1013718.0,2016
SFI,1750025.0,2016
SGT,1274962.0,2016
SHI,1163158.0,2016
SHP,1716981.0,2016
SII,1631199.0,2016
SJD,1678999.0,2016
SJS,1028538.0,2016
SKG,1834055.0,2016
SMA,823848.0,2016
SMC,868977.0,2016
SPM,961859.0,2016
SRC,1360884.0,2016
SRF,1126204.0,2016
SSC,1653653.0,2016
ST8,1919978.0,2016
STG,1647959.0,2016
STK,1324311.0,2016
STT,1431282.0,2016
SVC,1588356.0,2016
