SYMBOL,SUM_RANK,TIME
NOT_INVEST,2913540.0,2017
AAA,1085823.0,2017
AAM,1302140.0,2017
ABT,1386011.0,2017
ACC,1424061.0,2017
ACL,925830.0,2017
ADS,1168051.0,2017
AGF,846922.0,2017
AGM,966213.0,2017
AMD,1499229.0,2017
ANV,913662.0,2017
APC,1439050.0,2017
ASM,1670634.0,2017
ASP,1627647.0,2017
ATG,1386431.0,2017
BBC,1506252.0,2017
BCE,789352.0,2017
BCG,1424172.0,2017
BCI,1534685.0,2017
BFC,1157937.0,2017
BGM,1513933.0,2017
BHN,1799184.0,2017
BHS,1440150.0,2017
BMC,1252702.0,2017
BMP,1459891.0,2017
BRC,1251122.0,2017
BTP,1357348.0,2017
BTT,1542632.0,2017
C32,1594673.0,2017
C47,665711.0,2017
CAV,1304880.0,2017
CCI,2122409.0,2017
CCL,1463232.0,2017
CDC,1394723.0,2017
CDO,1601421.0,2017
CHP,1294497.0,2017
CIG,926700.0,2017
CII,1835365.0,2017
CLC,1148702.0,2017
CLG,1963126.0,2017
CLL,1431202.0,2017
CLW,1243482.0,2017
CMG,1734608.0,2017
CMT,1015586.0,2017
CMV,1039997.0,2017
CMX,774438.0,2017
CNG,1399688.0,2017
COM,1548412.0,2017
CSM,996902.0,2017
CSV,1336784.0,2017
CTD,1782002.0,2017
CTI,1279478.0,2017
CYC,722406.0,2017
D2D,1430692.0,2017
DAG,1099739.0,2017
DAH,1284214.0,2017
DAT,1899057.0,2017
DCL,1439494.0,2017
DCM,1290204.0,2017
DGW,1151301.0,2017
DHA,1651357.0,2017
DHC,1589580.0,2017
DHG,1461399.0,2017
DHM,1915396.0,2017
DIC,1133164.0,2017
DIG,1331951.0,2017
DLG,1556821.0,2017
DMC,1439835.0,2017
DPM,1865905.0,2017
DPR,1991132.0,2017
DQC,1437604.0,2017
DRC,1144123.0,2017
DRH,1819303.0,2017
DRL,1426995.0,2017
DSN,1557095.0,2017
DTA,1512457.0,2017
DTL,1140510.0,2017
DTT,1380036.0,2017
DVP,1563706.0,2017
DXG,1563750.0,2017
DXV,1142013.0,2017
ELC,1390711.0,2017
EMC,1044662.0,2017
EVE,1280885.0,2017
FCM,1169507.0,2017
FCN,1431885.0,2017
FDC,1820094.0,2017
FIT,1869229.0,2017
FLC,2006150.0,2017
FMC,1095761.0,2017
FPT,1497217.0,2017
FTM,898004.0,2017
GAS,1731318.0,2017
GDT,1508319.0,2017
GIL,1314958.0,2017
GMC,1189984.0,2017
GMD,1769088.0,2017
GSP,1526818.0,2017
GTA,1750798.0,2017
GTN,1662667.0,2017
HAG,1828639.0,2017
HAH,1320623.0,2017
HAI,1379285.0,2017
HAP,1453221.0,2017
HAR,2158525.0,2017
HAS,1781628.0,2017
HAX,1398666.0,2017
HBC,1440596.0,2017
HCD,1033181.0,2017
HDC,1274022.0,2017
HDG,1484249.0,2017
HHS,1539215.0,2017
HID,1403367.0,2017
HLG,1283909.0,2017
HMC,1773809.0,2017
HNG,1264238.0,2017
HOT,1461538.0,2017
HPG,1548494.0,2017
HQC,995120.0,2017
HRC,1488854.0,2017
HSG,1180161.0,2017
HT1,1191535.0,2017
HTI,1316799.0,2017
HTL,1357532.0,2017
HTV,1620220.0,2017
HU1,1426327.0,2017
HU3,1049494.0,2017
HVG,1054500.0,2017
HVX,879233.0,2017
ICF,862187.0,2017
IDI,1829081.0,2017
IJC,1294021.0,2017
IMP,1446827.0,2017
ITA,1548489.0,2017
ITC,1227402.0,2017
ITD,1823514.0,2017
JVC,1244148.0,2017
KAC,1630136.0,2017
KBC,1267368.0,2017
KDC,1596892.0,2017
KDH,1432443.0,2017
KHA,1947376.0,2017
KHP,1382749.0,2017
KMR,1121827.0,2017
KSA,1409733.0,2017
KSB,1911962.0,2017
KSH,1565245.0,2017
L10,1323575.0,2017
LAF,1271182.0,2017
LBM,1660411.0,2017
LCG,1454853.0,2017
LCM,1404677.0,2017
LDG,1043458.0,2017
LGC,1547164.0,2017
LGL,1458218.0,2017
LHG,1885012.0,2017
LIX,1471199.0,2017
LM8,941268.0,2017
LSS,1172953.0,2017
MCG,879063.0,2017
MCP,1259159.0,2017
MDG,1243417.0,2017
MHC,1999122.0,2017
MSN,1400867.0,2017
MWG,1350627.0,2017
NAF,1655464.0,2017
NAV,1207088.0,2017
NBB,1167846.0,2017
NCT,1572373.0,2017
NKG,1095627.0,2017
NLG,1401515.0,2017
NNC,1460284.0,2017
NSC,1498667.0,2017
NT2,1196415.0,2017
NTL,1291868.0,2017
NVL,1591554.0,2017
NVT,1715819.0,2017
OPC,1533586.0,2017
PAC,1330172.0,2017
PAN,1699392.0,2017
PC1,1737794.0,2017
PDN,1405951.0,2017
PDR,1150192.0,2017
PET,2147719.0,2017
PGC,1569562.0,2017
PGD,1441084.0,2017
PHR,1854395.0,2017
PIT,1043279.0,2017
PJT,1240982.0,2017
PNC,1249756.0,2017
PNJ,1247533.0,2017
POM,1051376.0,2017
PPC,1303220.0,2017
PPI,1327339.0,2017
PTB,1554721.0,2017
PTC,1248056.0,2017
PTL,1748452.0,2017
PVD,1334387.0,2017
PVT,1419650.0,2017
PXI,782980.0,2017
PXS,1304642.0,2017
PXT,1006913.0,2017
QBS,1417087.0,2017
QCG,1225717.0,2017
RAL,1204087.0,2017
RDP,1041136.0,2017
REE,1955959.0,2017
RIC,1352313.0,2017
ROS,1795671.0,2017
S4A,1304771.0,2017
SAB,1675333.0,2017
SAM,1920514.0,2017
SAV,1998733.0,2017
SBA,1312549.0,2017
SBT,1635903.0,2017
SC5,980187.0,2017
SCD,1870029.0,2017
SCR,1422231.0,2017
SFC,1879731.0,2017
SFG,1110346.0,2017
SFI,2048541.0,2017
SGT,1960276.0,2017
SHA,959979.0,2017
SHI,1311623.0,2017
SHP,1333212.0,2017
SII,1716149.0,2017
SJD,1485321.0,2017
SJS,1325299.0,2017
SKG,1538203.0,2017
SMA,881806.0,2017
SMC,1168150.0,2017
SPM,1243288.0,2017
SRC,1142511.0,2017
SRF,1443843.0,2017
SSC,1475510.0,2017
ST8,1827035.0,2017
STG,1651111.0,2017
STK,1079330.0,2017
STT,1458261.0,2017
SVC,2097831.0,2017
SVI,1335048.0,2017
SVT,2030326.0,2017
SZL,1961419.0,2017
TAC,1205001.0,2017
TBC,1563010.0,2017
TCL,1475817.0,2017
TCM,1349321.0,2017
TCO,1570750.0,2017
TCR,1076213.0,2017
TCT,1607431.0,2017
TDC,956522.0,2017
TDH,1781981.0,2017
TDW,1509501.0,2017
THG,1438721.0,2017
TIC,1416107.0,2017
TIE,1988969.0,2017
TIP,1644507.0,2017
TIX,1762355.0,2017
TLG,1381946.0,2017
TLH,1219104.0,2017
TMP,1480939.0,2017
TMS,1879766.0,2017
TMT,1260937.0,2017
TNA,1239838.0,2017
TNC,1544595.0,2017
TNT,1430153.0,2017
